요소,효과_1_5,난이도_1_5,우선순위,판단근거
AI 안전 CCTV·비상벨,5,4,2순위 · 전략 추진,야간 유동인구 많은 상업축. 개인정보 심의·통신망 구축 필요
빗물 저류·투수포장,5,5,2순위 · 전략 추진,청계천 유역 도심 침수 대응. 굴착·구조 변경으로 난이도 최고
환경센서(폭염·미세먼지),4,2,1순위 · 즉시 추진,0–1 km 밀도 정점 구간의 주간 체류인구 대응. 설치·배선 부담이 작다
스마트 그늘막·쿨링포그,4,2,1순위 · 즉시 추진,상업·업무 비율이 500–1000 m에서 50.2%로 최고 — 주간 보행자 밀집
AR 문화재 해설,4,4,2순위 · 전략 추진,종교·문화 용도가 중심 500 m에 집중(54동) — 경복궁·창덕궁·종묘
이용자 계수 센서,3,2,3순위 · 선택 도입,"링별 밀도 격차(1,448 → 403)를 실이용으로 검증할 기초자료"
공공 와이파이,3,2,3순위 · 선택 도입,"관광·업무 통행 혼재 구간, 기존 통신 인프라 활용 가능"
스마트 관수(자동관개),3,3,3순위 · 선택 도입,"궁궐·공원 녹지가 중심부에 집중, 관수 인력 절감 효과"
스마트 벤치(충전),2,2,3순위 · 선택 도입,체감 편의는 있으나 밀도·안전 문제 해결에는 기여가 작다
디지털 사이니지,2,3,3순위 · 선택 도입,기존 안내판 대체 수준. 문화재 경관 심의가 걸린다
스마트 주차·PM 거치,2,4,4순위 · 보류,도심 주차 수요는 크나 공원 요소로서의 효과는 간접적
자율 청소·순찰 로봇,2,5,4순위 · 보류,보도 폭이 좁은 이면도로가 많아 주행 환경이 불리하다

중심,"서울 종로구청 (37.5735, 126.9790)",,,
조회일,2026-09-14,,,
출처,Overpass API (OpenStreetMap) · building 태그 · © OpenStreetMap contributors (ODbL),,,
